Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
GCA_003133205.1_20120500_P28_genomic	90.97	10.37	Gradient Boost (General Model)	11	0.869	24830	317.32107320540155	6149698	0.6	5628	None
GCA_003133245.1_20120500_P28_genomic	98.58	0.25	Gradient Boost (General Model)	11	0.913	93698	324.4534925805284	2938909	0.58	2763	None
GCA_003134915.1_20111000_P3D_genomic	98.0	0.44	Gradient Boost (General Model)	11	0.917	141634	328.2580359775877	3634423	0.62	3391	None
GCA_003136375.1_20111000_P1D_genomic	91.23	3.81	Gradient Boost (General Model)	11	0.864	14901	324.6542283512472	5547843	0.6	4931	None
GCA_003136415.1_20111000_P1D_genomic	91.41	2.59	Gradient Boost (General Model)	11	0.888	35839	286.55093099671416	2642691	0.62	2739	None
GCA_003139575.1_20110800_P2D_genomic	77.22	2.28	Gradient Boost (General Model)	11	0.911	11785	256.0194366197183	2979172	0.68	3550	None
GCA_003141595.1_20120800_E2X_genomic	97.73	1.91	Gradient Boost (General Model)	11	0.911	133211	368.7387211944174	3735678	0.42	3081	None
GCA_003142515.1_20120800_E2X_genomic	85.04	0.74	Gradient Boost (General Model)	11	0.906	21672	331.00190912562044	2864732	0.44	2619	None
GCA_003142575.1_20120800_E2X_genomic	98.86	1.81	Gradient Boost (General Model)	11	0.894	35391	320.92244764397907	3284985	0.43	3056	None
GCA_003151155.1_20120700_P3D_genomic	93.1	5.33	Neural Network (Specific Model)	11	0.872	32176	302.1679985470396	5709437	0.57	5506	None
GCA_003151535.1_20120700_P3D_genomic	95.53	1.45	Neural Network (Specific Model)	11	0.804	32533	227.71967871485944	3163878	0.33	3735	None
GCA_003151655.1_20120700_P3D_genomic	80.27	2.56	Neural Network (Specific Model)	11	0.88	13050	263.68799576943417	3386394	0.51	3782	None
GCA_003151735.1_20120700_P3D_genomic	97.76	5.36	Gradient Boost (General Model)	11	0.808	65930	231.0553793608197	3506105	0.42	4099	None
GCA_003151895.1_20120700_P3D_genomic	74.46	1.9	Gradient Boost (General Model)	11	0.886	13605	274.77622820919174	2924708	0.68	3155	None
GCA_003152135.1_20120700_P3D_genomic	99.52	1.26	Neural Network (Specific Model)	11	0.811	21078	232.61194316436251	4462745	0.57	5208	None
GCA_003152145.1_20120700_P3D_genomic	55.54	1.14	Gradient Boost (General Model)	11	0.887	10453	277.7761627906977	3863453	0.57	4128	None
GCA_003152455.1_20120700_P2D_genomic	96.27	2.24	Gradient Boost (General Model)	11	0.844	22465	267.80431740955424	4752134	0.62	5003	None
GCA_003154295.1_20120700_E2X_genomic	69.43	2.37	Gradient Boost (General Model)	11	0.878	17366	270.02902240325864	3612511	0.68	3928	None
GCA_003158575.1_20120600_E2D_genomic	85.06	2.38	Gradient Boost (General Model)	11	0.887	49464	317.7118245888802	2739323	0.68	2554	None
GCA_003158615.1_20120600_E2D_genomic	93.58	6.0	Gradient Boost (General Model)	11	0.842	16644	261.05755208333335	3556202	0.49	3840	None
GCA_003162235.1_20100900_E1D_genomic	77.43	0.4	Gradient Boost (General Model)	11	0.861	28071	265.08329226219814	1867748	0.66	2029	None
GCA_003162595.1_20100900_E3D_genomic	85.58	4.66	Gradient Boost (General Model)	11	0.879	13657	306.80991041433373	3731013	0.38	3572	None
GCA_003164695.1_20120700_S1D_genomic	73.89	2.93	Gradient Boost (General Model)	11	0.872	10518	278.2132352941176	3889917	0.57	4080	None
GCA_003165275.1_20120700_S1D_genomic	91.27	6.18	Gradient Boost (General Model)	11	0.865	18265	292.54512120594825	4969099	0.68	4909	None
GCA_003166755.1_20110700_S1D_genomic	84.99	1.8	Gradient Boost (General Model)	11	0.866	15945	314.31831109166484	4963643	0.62	4571	None
GCA_003167375.1_20110700_P2D_genomic	89.42	3.5	Neural Network (Specific Model)	11	0.909	23108	340.0724159597864	7126901	0.63	6366	None
GCA_003167925.1_20110700_S1D_genomic	93.22	2.47	Gradient Boost (General Model)	11	0.877	36508	314.86427875243663	4408130	0.57	4104	None
GCA_003168085.1_20110700_P2D_genomic	86.53	2.2	Gradient Boost (General Model)	11	0.92	21401	323.8740111338998	3595185	0.67	3413	None
GCA_003169655.1_20110800_P1M_genomic	81.46	0.4	Gradient Boost (General Model)	11	0.892	31482	287.29023898646705	3344747	0.69	3473	None
GCA_003169695.1_20110800_P1D_genomic	94.38	1.77	Gradient Boost (General Model)	11	0.886	88166	304.5738071570577	4138170	0.57	4024	None
GCA_003170175.1_20110800_P1M_genomic	96.01	9.08	Gradient Boost (General Model)	11	0.851	37661	274.80669020003364	5752549	0.59	5949	None
GCA_003170215.1_20110800_P1M_genomic	98.31	2.07	Gradient Boost (General Model)	11	0.916	136224	326.4606355568279	3725183	0.62	3493	None
GCA_003170855.1_20110800_E2D_genomic	81.35	4.19	Gradient Boost (General Model)	11	0.874	21757	295.46638418079095	3580613	0.68	3540	None
GCA_003170995.1_20110800_E1D_genomic	84.23	1.86	Gradient Boost (General Model)	11	0.868	13488	275.263523573201	1910730	0.64	2015	None
S22rbin.5	83.29	0.94	Gradient Boost (General Model)	11	0.867	8663	260.7150900900901	3998570	0.59	4440	None
S246bin.28	90.63	5.13	Gradient Boost (General Model)	4	0.724	1978	177.68172690763052	1453279	0.52	1992	None
S25rbin.15	92.01	3.47	Gradient Boost (General Model)	11	0.908	24085	290.1424418604651	3622380	0.64	3784	None
S262bin.2	97.59	3.58	Neural Network (Specific Model)	11	0.92	32864	320.8302459763134	3441016	0.72	3293	None
S3rebin.1	73.42	9.76	Neural Network (Specific Model)	11	0.909	4726	268.080276550797	4598164	0.66	5207	None
SRR10360606bin.3	87.17	5.29	Gradient Boost (General Model)	11	0.882	10596	301.7439236111111	4720328	0.61	4608	None
SRR10360644bin.11	81.04	5.87	Gradient Boost (General Model)	11	0.916	7922	302.74587869362364	6361865	0.66	6430	None
SRR10489811bin.13	37.32	5.52	Neural Network (Specific Model)	11	0.908	2347	253.34681795757277	1692753	0.66	2027	None
SRR10489811bin.14	96.82	4.34	Gradient Boost (General Model)	11	0.948	8989	310.7962572482868	3722361	0.67	3794	None
SRR10489814bin.10	89.9	3.83	Gradient Boost (General Model)	11	0.894	5406	284.54411764705884	3435546	0.63	3604	None
SRR10489814bin.17	75.48	2.94	Gradient Boost (General Model)	11	0.838	4416	230.76858392196434	2450327	0.55	2973	None
SRR10489814bin.19	65.86	2.14	Gradient Boost (General Model)	11	0.919	3990	293.3654311039484	2372441	0.39	2482	None
SRR10489814bin.7	89.89	2.91	Gradient Boost (General Model)	11	0.942	6995	290.43324638368506	3887233	0.63	4217	None
SRR10489814bin.9	61.24	0.2	Gradient Boost (General Model)	11	0.88	3455	255.49270386266093	2025839	0.35	2330	None
SRR10489815bin.10	96.29	0.58	Gradient Boost (General Model)	11	0.911	32812	351.34651898734177	2920028	0.44	2528	None
SRR10489815bin.14	100.0	4.35	Gradient Boost (General Model)	11	0.883	15021	286.845367278798	4661057	0.63	4792	None
SRR10489815bin.16	58.53	0.35	Gradient Boost (General Model)	11	0.882	5270	302.2644301924026	2081664	0.42	2027	None
SRR10489815bin.17	60.09	1.61	Gradient Boost (General Model)	11	0.838	10469	275.3736043515603	3432459	0.59	3493	None
SRR10489815bin.21	50.01	3.84	Neural Network (Specific Model)	11	0.852	9714	277.42006269592474	1243785	0.45	1276	None
SRR10489815bin.38	94.77	1.27	Gradient Boost (General Model)	11	0.908	39238	302.23053551082415	2621907	0.69	2633	None
SRR10489815bin.40	68.0	3.71	Gradient Boost (General Model)	11	0.905	6630	281.5013677217663	2381683	0.72	2559	None
SRR10489815bin.41	93.78	5.62	Gradient Boost (General Model)	11	0.886	6110	281.6011403746945	3507591	0.58	3683	None
SRR10489815bin.43	81.76	4.32	Neural Network (Specific Model)	11	0.945	13025	292.1869736103313	1648447	0.52	1781	None
SRR10489818bin.7	82.59	1.27	Gradient Boost (General Model)	11	0.939	37145	283.23697478991596	2144233	0.69	2380	None
SRR10489821bin.10	58.53	17.12	Gradient Boost (General Model)	11	0.952	2260	235.68678255165628	2255716	0.7	3049	None
SRR10489821bin.8	58.62	12.66	Gradient Boost (General Model)	11	0.944	2309	249.0783101494075	1532912	0.67	1941	None
SRR10489822bin.5	65.1	1.36	Gradient Boost (General Model)	11	0.933	8270	281.5810507409071	2012410	0.68	2227	None
SRR10489823bin.12	57.8	1.07	Neural Network (Specific Model)	11	0.855	7375	300.89939982852246	3688553	0.59	3499	None
SRR10489823bin.6	53.4	3.26	Gradient Boost (General Model)	11	0.902	2536	254.2875851231011	1611767	0.66	1909	None
SRR10489824bin.8	75.24	1.89	Gradient Boost (General Model)	11	0.91	3695	261.83725490196076	2637466	0.72	3060	None
SRR10489825bin.2	59.67	1.8	Gradient Boost (General Model)	11	0.925	5020	274.840040753948	1745479	0.69	1963	None
SRR10489826bin.10	91.46	0.34	Gradient Boost (General Model)	11	0.899	19053	286.59921607055367	1948746	0.66	2041	None
SRR10489828bin.11	53.39	0.77	Gradient Boost (General Model)	11	0.876	3978	273.79912472647703	2139423	0.57	2285	None
SRR10489828bin.23	97.53	1.56	Gradient Boost (General Model)	11	0.929	74743	304.91795561533286	4382063	0.65	4461	None
SRR10489831bin.5	87.25	2.34	Neural Network (Specific Model)	11	0.87	11109	277.94809623034666	5053945	0.64	5279	None
SRR10489831bin.7	59.48	5.39	Neural Network (Specific Model)	11	0.857	4295	254.89821838066678	5050516	0.61	5669	None
SRR10489833bin.10	66.8	3.41	Gradient Boost (General Model)	11	0.905	3167	247.8086500655308	1876809	0.6	2289	None
SRR10489833bin.18	73.42	2.87	Gradient Boost (General Model)	11	0.868	3831	258.794614902943	2851835	0.66	3194	None
SRR10489833bin.32	58.25	6.01	Gradient Boost (General Model)	11	0.906	5431	271.44822557122023	1846612	0.56	2057	None
SRR10489833bin.37	56.19	7.72	Gradient Boost (General Model)	11	0.891	8221	299.9314456035768	2029437	0.54	2013	None
SRR10489834bin.16	96.19	0.14	Gradient Boost (General Model)	11	0.921	52700	310.4498941425547	2860010	0.67	2834	None
SRR10489834bin.33	81.98	0.55	Gradient Boost (General Model)	11	0.901	10424	288.04110559886607	1348052	0.57	1411	None
SRR10489834bin.7	79.69	5.23	Gradient Boost (General Model)	11	0.876	8630	291.26488095238096	2340692	0.67	2352	None
SRR10489839bin.1	95.57	3.64	Gradient Boost (General Model)	11	0.938	7754	283.12747252747255	3699230	0.67	4095	None
SRR10489839bin.8	63.35	3.71	Gradient Boost (General Model)	11	0.954	8823	271.01907216494845	1647131	0.7	1940	None
SRR10861768bin.2	72.46	13.73	Gradient Boost (General Model)	11	0.916	48630	312.27311827956987	2846696	0.71	2790	None
SRR10954970bin.7	90.51	1.53	Neural Network (Specific Model)	11	0.875	48832	318.95079513564076	5834914	0.59	5345	None
SRR11031422bin.13	89.27	7.2	Neural Network (Specific Model)	11	0.912	21496	316.62578379734134	4146490	0.64	3987	None
SRR1157616rbin.1	75.29	6.22	Gradient Boost (General Model)	11	0.923	4365	257.1013734466972	2552698	0.64	3058	None
SRR11672840bin.20	86.31	5.48	Gradient Boost (General Model)	11	0.907	10060	281.9883903357389	2967448	0.63	3187	None
SRR11674063bin.29	88.31	1.69	Gradient Boost (General Model)	11	0.953	27460	286.28117607299765	2658439	0.71	2959	None
SRR11678605bin.20	76.54	7.55	Neural Network (Specific Model)	11	0.853	13901	281.1553941908714	4757877	0.63	4820	None
SRR11678605bin.4	81.47	5.76	Gradient Boost (General Model)	11	0.874	8267	274.2456533931576	3354185	0.64	3566	None
SRR11743025bin.14	99.07	3.6	Neural Network (Specific Model)	11	0.836	29104	260.4043674698795	3710873	0.57	3984	None
SRR11833492bin.29	74.73	18.89	Neural Network (Specific Model)	11	0.877	6648	265.2192048012003	6039617	0.63	6665	None
SRR11833507bin.22	100.0	6.73	Gradient Boost (General Model)	11	0.898	36694	326.6412789186379	4194323	0.57	3847	None
SRR11833744bin.13	92.72	0.59	Gradient Boost (General Model)	11	0.888	101806	297.28811227297746	3645855	0.63	3634	None
SRR11836440bin.55	95.65	4.48	Gradient Boost (General Model)	11	0.931	75921	322.3600088672135	4677312	0.7	4511	None
SRR11842108bin.17	95.06	3.5	Neural Network (Specific Model)	11	0.895	20256	295.9362777411558	4508602	0.69	4551	None
SRR12060215bin.5	83.74	3.23	Gradient Boost (General Model)	11	0.905	4717	256.7948038176034	3206688	0.66	3772	None
SRR12277191bin.9	95.1	5.13	Gradient Boost (General Model)	11	0.891	34548	324.83329277196395	4488863	0.56	4109	None
SRR12277196bin.3	92.98	4.42	Gradient Boost (General Model)	11	0.922	12305	301.61901528013584	2881084	0.61	2945	None
SRR12277197bin.2	54.86	2.08	Gradient Boost (General Model)	11	0.905	2695	240.6847782660807	1993727	0.61	2503	None
SRR12277198bin.3	74.59	0.26	Gradient Boost (General Model)	11	0.922	4875	267.0569762225213	1931815	0.7	2229	None
SRR12277198bin.4	97.49	2.27	Gradient Boost (General Model)	11	0.921	65606	291.4922084900591	3521374	0.65	3722	None
SRR12277200bin.7	99.94	2.5	Gradient Boost (General Model)	11	0.923	34599	291.8369365225391	4116991	0.69	4348	None
SRR12347921bin.3	99.98	1.15	Neural Network (Specific Model)	11	0.793	17161	249.386195783537	7009913	0.43	7447	None
SRR12377070bin.3	99.31	0.25	Gradient Boost (General Model)	11	0.881	240764	305.5470901821413	4680724	0.66	4502	None
SRR12659391bin.24	52.03	3.25	Neural Network (Specific Model)	11	0.873	27409	290.83632286995515	3115263	0.63	3122	None
SRR12917118bin.14	78.92	3.98	Neural Network (Specific Model)	11	0.871	45627	297.27673469387753	3757490	0.63	3675	None
SRR1586264rbin.1	96.05	4.42	Gradient Boost (General Model)	11	0.897	19242	292.4986100581248	3862562	0.67	3957	None
SRR1586269rbin.19	92.77	3.1	Gradient Boost (General Model)	11	0.922	30923	293.14156378600825	3465729	0.67	3645	None
SRR1586269rbin.24	96.56	4.82	Gradient Boost (General Model)	11	0.874	18414	305.1098679383712	5700696	0.71	5452	None
SRR1586270rbin.25	99.99	0.32	Neural Network (Specific Model)	11	0.913	51237	320.2609693877551	4118319	0.6	3920	None
SRR1586272rbin.6	82.22	7.69	Gradient Boost (General Model)	11	0.932	9062	269.0458624127617	2595745	0.67	3009	None
SRR1586279rbin.14	75.49	3.14	Gradient Boost (General Model)	11	0.943	4880	255.38847117794487	2259974	0.71	2793	None
SRR1586279rbin.19	71.15	2.76	Gradient Boost (General Model)	11	0.92	7325	271.5109147609148	1699776	0.68	1924	None
SRR1586279rbin.36	97.9	0.85	Gradient Boost (General Model)	11	0.883	19529	327.12802252401457	6695829	0.62	6038	None
SRR1586289rbin.7	95.0	4.32	Gradient Boost (General Model)	11	0.928	11638	282.0928518791452	2466611	0.69	2714	None
SRR1586293rbin.4	86.02	8.9	Gradient Boost (General Model)	11	0.92	10442	268.6204152249135	2523407	0.69	2890	None
SRR1586301rbin.12	98.81	0.71	Gradient Boost (General Model)	11	0.897	47523	312.4685514612452	3281537	0.68	3148	None
SRR1586303rbin.3	82.28	0.25	Neural Network (Specific Model)	11	0.873	12355	266.48312078019507	2435845	0.64	2666	None
SRR1586309rbin.2	98.66	0.06	Neural Network (Specific Model)	11	0.903	495250	293.59090909090907	749814	0.47	770	None
SRR1586311rbin.6	93.72	1.74	Gradient Boost (General Model)	11	0.918	22714	310.30195325008003	3160794	0.62	3123	None
SRR1586317rbin.11	96.06	1.32	Neural Network (Specific Model)	11	0.892	98913	356.08675534991323	6204875	0.66	5187	None
SRR1586321rbin.15	88.99	2.8	Gradient Boost (General Model)	11	0.901	9970	295.0800390434358	4019033	0.56	4098	None
SRR2901746rbin.30	99.99	1.68	Neural Network (Specific Model)	11	0.877	29608	302.11718622490616	6322292	0.65	6127	None
SRR3982075rbin.1	72.36	4.03	Neural Network (Specific Model)	11	0.843	4796	250.13181192209325	4517007	0.61	5083	None
SRR3984893rbin.7	96.23	5.25	Gradient Boost (General Model)	11	0.923	9763	283.54938420671334	3806569	0.7	4141	None
SRR3984960rbin.12	90.82	5.04	Gradient Boost (General Model)	11	0.884	9854	271.77483099323973	3536138	0.69	3846	None
SRR3984960rbin.8	62.0	1.08	Gradient Boost (General Model)	11	0.861	11991	292.4931216931217	2881734	0.58	2835	None
SRR3984960rbin.9	92.46	6.87	Gradient Boost (General Model)	11	0.852	12018	259.1415805151568	5190148	0.66	5707	None
SRR3984961rbin.1	96.29	2.78	Gradient Boost (General Model)	11	0.917	35837	291.9827748199186	3041068	0.65	3193	None
SRR3984962rbin.17	96.35	2.52	Gradient Boost (General Model)	11	0.919	35129	289.0009756097561	2891864	0.66	3075	None
SRR3984963rbin.1	80.76	3.01	Gradient Boost (General Model)	11	0.829	8040	249.41527987897126	4758964	0.66	5288	None
SRR3984963rbin.10	81.28	6.28	Neural Network (Specific Model)	11	0.858	8933	266.1000551774876	5045338	0.62	5437	None
SRR3984963rbin.18	66.2	0.36	Neural Network (Specific Model)	11	0.902	6447	276.64038727524206	1993770	0.64	2169	None
SRR3984963rbin.4	81.47	2.12	Gradient Boost (General Model)	11	0.911	5606	271.7090402045085	3839315	0.7	4303	None
SRR3985190rbin.7	46.76	7.38	Gradient Boost (General Model)	11	0.903	4547	285.5762400489896	1546791	0.58	1633	None
SRR3985382rbin.2	87.66	1.19	Neural Network (Specific Model)	11	0.865	21743	290.9680426098535	4540412	0.63	4506	None
SRR3985383rbin.3	74.58	0.97	Neural Network (Specific Model)	11	0.887	5324	269.97839654344693	1898153	0.65	2083	None
SRR3985384rbin.17	49.56	2.31	Neural Network (Specific Model)	11	0.906	3846	269.8911589895988	2398899	0.61	2692	None
SRR3985384rbin.9	60.41	4.34	Gradient Boost (General Model)	11	0.875	4150	274.74156939040205	2899661	0.56	3084	None
SRR3985394rbin.4	76.12	4.63	Gradient Boost (General Model)	11	0.921	5768	272.3202793714143	3547265	0.68	4009	None
SRR3985395rbin.18	89.59	0.63	Gradient Boost (General Model)	11	0.921	8658	286.99873697505524	2951537	0.69	3167	None
SRR3985395rbin.20	95.32	0.97	Gradient Boost (General Model)	11	0.887	21144	287.49672560576295	2960362	0.65	3054	None
SRR3985395rbin.8	65.66	6.55	Gradient Boost (General Model)	11	0.854	6616	249.85474537037038	3023058	0.66	3456	None
SRR3985396rbin.14	84.19	2.94	Neural Network (Specific Model)	11	0.875	13511	279.616264814058	2340262	0.55	2447	None
SRR3985396rbin.20	92.37	1.48	Gradient Boost (General Model)	11	0.874	82876	312.903040734366	3736607	0.57	3486	None
SRR3985396rbin.25	49.66	3.17	Gradient Boost (General Model)	11	0.915	3045	248.25858951175408	1347002	0.7	1659	None
SRR3985396rbin.3	75.27	9.43	Gradient Boost (General Model)	11	0.857	5758	252.551186680836	4975480	0.66	5646	None
SRR3985396rbin.6	94.57	0.62	Gradient Boost (General Model)	11	0.844	21410	265.4401788062056	3578738	0.71	3803	None
SRR3985419rbin.1	84.98	2.75	Neural Network (Specific Model)	11	0.902	7071	258.30193661971833	1946644	0.53	2272	None
SRR3985419rbin.13	92.21	5.04	Gradient Boost (General Model)	11	0.893	9166	272.69737493808816	1845408	0.65	2019	None
SRR3985419rbin.3	44.74	10.25	Gradient Boost (General Model)	11	0.901	3398	250.5865447419987	1274398	0.67	1531	None
SRR3985419rbin.8	46.15	2.72	Gradient Boost (General Model)	11	0.802	1522	184.13738291229066	2417477	0.5	3523	None
SRR3985420rbin.3	91.16	1.36	Gradient Boost (General Model)	11	0.929	13085	294.5511111111111	1495491	0.68	1575	None
SRR3985421rbin.12	58.11	3.42	Gradient Boost (General Model)	11	0.904	4039	262.9087269815853	2174782	0.7	2498	None
SRR3985421rbin.14	64.61	7.57	Gradient Boost (General Model)	11	0.795	1645	186.62874697449266	3766498	0.45	5371	None
SRR3985424rbin.10	98.1	1.73	Neural Network (Specific Model)	11	0.834	21615	277.48923175827707	6191459	0.69	6222	None
SRR3985527rbin.9	64.89	4.5	Gradient Boost (General Model)	11	0.847	3046	262.6826675257732	2883515	0.38	3104	None
SRR3989121rbin.27	80.39	2.53	Gradient Boost (General Model)	11	0.913	28835	297.82100898410505	1413957	0.68	1447	None
SRR3989121rbin.35	47.98	1.19	Gradient Boost (General Model)	11	0.891	4548	297.6246509772637	2505981	0.62	2507	None
SRR3989121rbin.5	54.71	11.48	Gradient Boost (General Model)	11	0.917	4082	264.5090909090909	1804484	0.73	2090	None
SRR3989239rbin.17	79.16	2.04	Gradient Boost (General Model)	11	0.928	4167	277.65340649291267	1958173	0.58	2187	None
SRR3989239rbin.2	37.1	2.74	Neural Network (Specific Model)	11	0.93	3083	250.80068965517242	1170002	0.68	1450	None
SRR3989239rbin.22	92.59	1.6	Gradient Boost (General Model)	11	0.92	38644	342.46051660516605	3021311	0.44	2710	None
SRR3989239rbin.29	82.74	0.68	Neural Network (Specific Model)	11	0.844	12733	258.06891830214516	2005266	0.51	2191	None
SRR3989239rbin.31	77.18	0.22	Neural Network (Specific Model)	11	0.73	6251	247.09867751780266	1990101	0.42	1966	None
SRR3989239rbin.32	93.51	5.03	Gradient Boost (General Model)	11	0.9	9190	297.5810606060606	2613842	0.63	2640	None
SRR3989239rbin.8	75.41	4.63	Gradient Boost (General Model)	11	0.913	13051	306.19350282485874	2132949	0.64	2124	None
SRR3989254rbin.43	69.05	2.99	Gradient Boost (General Model)	11	0.888	3606	257.82465753424657	1904328	0.53	2190	None
SRR3989254rbin.5	95.35	3.35	Gradient Boost (General Model)	11	0.862	42698	292.64323189926546	2908224	0.39	2859	None
SRR3989257rbin.29	97.8	4.18	Gradient Boost (General Model)	11	0.932	5518	301.4180473372781	3274048	0.68	3380	None
SRR3989257rbin.53	71.85	6.53	Neural Network (Specific Model)	11	0.728	5870	237.85174043833263	2274251	0.41	2327	None
SRR3989257rbin.7	87.14	0.56	Gradient Boost (General Model)	11	0.909	19393	301.6440404040404	2460381	0.63	2475	None
SRR3989258rbin.23	98.7	0.63	Gradient Boost (General Model)	11	0.892	49939	309.9460949464012	3396898	0.52	3265	None
SRR3989258rbin.24	89.47	1.64	Neural Network (Specific Model)	11	0.864	31930	308.38373374476527	4849461	0.35	4537	None
SRR3989258rbin.4	80.73	4.03	Neural Network (Specific Model)	11	0.865	7807	278.2484157160963	1519597	0.4	1578	None
SRR3989258rbin.8	97.58	0.46	Gradient Boost (General Model)	11	0.881	139294	355.83686227061906	5999114	0.4	4959	None
SRR3989339rbin.13	83.79	13.5	Gradient Boost (General Model)	11	0.903	6767	280.428046989721	3797417	0.57	4086	None
SRR3990169rbin.168	86.02	2.67	Gradient Boost (General Model)	11	0.905	12649	312.2307917888563	3525959	0.65	3410	None
SRR4021130rbin.1	85.32	2.71	Gradient Boost (General Model)	11	0.895	8733	279.41488400120517	3100277	0.68	3319	None
SRR4027827rbin.2	89.35	15.58	Neural Network (Specific Model)	11	0.897	7327	273.7868184541642	7628455	0.6	8345	None
SRR4027936rbin.1	76.63	0.0	Neural Network (Specific Model)	11	0.847	5548	243.0497886331611	1829637	0.51	2129	None
SRR4027936rbin.2	62.83	3.43	Gradient Boost (General Model)	11	0.902	4869	291.8912943344081	4208285	0.65	4342	None
SRR4027936rbin.6	82.73	5.34	Gradient Boost (General Model)	11	0.884	6266	257.2218370883882	2010198	0.66	2308	None
SRR5195139rbin.3	90.99	2.83	Gradient Boost (General Model)	11	0.894	13139	283.32501188777934	3991407	0.69	4206	None
SRR5659263rbin.1	58.85	0.36	Gradient Boost (General Model)	11	0.913	2747	242.1119221411192	978359	0.7	1233	None
