user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
15_S41_bin.4	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.8%)
15_S41_bin.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000416235.1, s__Pseudomonas_E sp000416235, 95.0, 81.62, 0.64; GCF_001698815.1, s__Pseudomonas_E syringae_A, 95.0, 81.53, 0.63; GCF_007713465.1, s__Pseudomonas_E sp007713465, 95.0, 81.33, 0.59; GCF_902497875.1, s__Pseudomonas_E fluorescens_BR, 95.0, 81.32, 0.65; GCF_902497895.1, s__Pseudomonas_E fluorescens_BP, 95.0, 81.29, 0.63; GCF_003732225.1, s__Pseudomonas_E brassicacearum_E, 95.0, 81.29, 0.63; GCF_000282495.1, s__Pseudomonas_E sp000282495, 95.0, 81.27, 0.62; GCF_001874645.1, s__Pseudomonas_E frederiksbergensis_B, 95.0, 81.26, 0.58; GCF_000282375.1, s__Pseudomonas_E sp000282375, 95.0, 81.26, 0.61; GCF_003151075.1, s__Pseudomonas_E sp003151075, 95.0, 81.21, 0.64; GCA_900475325.1, s__Pseudomonas_E sp900475325, 95.0, 81.18, 0.58; GCF_000512695.2, s__Pseudomonas_E sp000512695, 95.0, 81.18, 0.58; GCF_900590755.1, s__Pseudomonas_E sp900590755, 95.0, 81.18, 0.58; GCF_001655615.1, s__Pseudomonas_E sp001655615, 95.0, 81.18, 0.64; GCF_902498065.1, s__Pseudomonas_E fluorescens_BJ, 95.0, 81.17, 0.63; GCF_001307155.1, s__Pseudomonas_E fluorescens_E, 95.0, 81.17, 0.63; GCF_015461845.1, s__Pseudomonas_E mucoides, 95.0, 81.16, 0.62; GCF_018502625.1, s__Pseudomonas_E fluorescens_BW, 95.0, 81.14, 0.63; GCF_002018875.1, s__Pseudomonas_E sp002018875, 95.0, 81.13, 0.62; GCF_000282415.1, s__Pseudomonas_E sp000282415, 95.0, 81.13, 0.64; GCF_009834545.1, s__Pseudomonas_E sp900187635, 95.0, 81.12, 0.58; GCF_003732275.1, s__Pseudomonas_E frederiksbergensis_H, 95.0, 81.1, 0.63; GCF_000282195.1, s__Pseudomonas_E sp000282195, 95.0, 81.1, 0.63; GCF_015471405.1, s__Pseudomonas_E cichorii_D, 95.0, 81.09, 0.55; GCF_018343775.1, s__Pseudomonas_E cichorii, 95.0, 81.09, 0.55; GCF_000737245.1, s__Pseudomonas_E syringae_J, 95.0, 81.07, 0.54; GCF_000444135.1, s__Pseudomonas_E avellanae, 95.0, 81.06, 0.52; GCF_900106065.1, s__Pseudomonas_E mandelii, 95.0, 81.06, 0.65; GCF_001238485.1, s__Pseudomonas_E syringae_E, 95.0, 81.06, 0.62; GCF_003700275.1, s__Pseudomonas_E cichorii_B, 95.0, 81.03, 0.59; GCF_002158995.1, s__Pseudomonas_E caspiana, 95.0, 81.03, 0.55; GCF_001042905.1, s__Pseudomonas_E lini, 95.0, 81.02, 0.62; GCF_900187445.1, s__Pseudomonas_E sp900187445, 95.0, 81.0, 0.6; GCF_900187505.1, s__Pseudomonas_E sp900187505, 95.0, 80.99, 0.6; GCF_900601905.1, s__Pseudomonas_E sp900601905, 95.0, 80.96, 0.56; GCF_000282215.1, s__Pseudomonas_E sp000282215, 95.0, 80.95, 0.58; GCF_003731765.1, s__Pseudomonas_E chlororaphis_G, 95.0, 80.95, 0.63; GCF_002080045.1, s__Pseudomonas_E sp002080045, 95.0, 80.95, 0.64; GCF_018968705.1, s__Pseudomonas_E cichorii_C, 95.0, 80.95, 0.57; GCF_900103875.1, s__Pseudomonas_E arsenicoxydans, 95.0, 80.92, 0.64; GCF_004011535.1, s__Pseudomonas_E asplenii_A, 95.0, 80.92, 0.6; GCF_014236655.1, s__Pseudomonas_E kielensis, 95.0, 80.91, 0.62; GCF_013386115.1, s__Pseudomonas_E gingeri_B, 95.0, 80.91, 0.6; GCF_002814235.1, s__Pseudomonas_E sp002814235, 95.0, 80.91, 0.6; GCF_017165745.1, s__Pseudomonas_E capsici, 95.0, 80.9, 0.56; GCF_900602065.1, s__Pseudomonas_E sp900602065, 95.0, 80.86, 0.54; GCF_014358015.1, s__Pseudomonas_E triticumensis, 95.0, 80.86, 0.54; GCF_900143095.1, s__Pseudomonas_E asturiensis, 95.0, 80.85, 0.55; GCF_001642795.1, s__Pseudomonas_E viridiflava, 95.0, 80.83, 0.55; GCF_013386165.1, s__Pseudomonas_E gingeri_C, 95.0, 80.83, 0.6; GCF_900581005.1, s__Pseudomonas_E sp900581005, 95.0, 80.82, 0.58; GCF_009176725.1, s__Pseudomonas_E syringae_M, 95.0874, 80.82, 0.54; GCF_014357575.1, s__Pseudomonas_E foliumensis, 95.0, 80.81, 0.51; GCF_013385635.1, s__Pseudomonas_E gingeri_A, 95.0, 80.78, 0.59; GCF_900187645.1, s__Pseudomonas_E sp900187645, 95.0, 80.77, 0.58; GCF_001466965.1, s__Pseudomonas_E syringae_Q, 95.0, 80.76, 0.51; GCF_900100795.1, s__Pseudomonas_E abietaniphila, 95.0, 80.76, 0.59; GCF_002699985.1, s__Pseudomonas_E sp002699985, 95.0, 80.75, 0.55; GCF_000507185.2, s__Pseudomonas_E syringae, 95.0874, 80.75, 0.52; GCF_003935425.1, s__Pseudomonas_E sp003935425, 95.0, 80.75, 0.54; GCF_000820515.1, s__Pseudomonas_E batumici, 95.0, 80.75, 0.56; GCF_013385425.1, s__Pseudomonas_E gingeri_D, 95.0, 80.74, 0.61; GCF_904067045.1, s__Pseudomonas_E sp904067045, 95.0, 80.73, 0.57; GCF_002723575.1, s__Pseudomonas_E viridiflava_B, 95.0, 80.73, 0.54; GCF_002087235.1, s__Pseudomonas_E floridensis, 95.0, 80.71, 0.52; GCF_007858285.1, s__Pseudomonas_E brenneri, 95.0, 80.71, 0.57; GCF_900103225.1, s__Pseudomonas_E congelans, 95.0, 80.7, 0.52; GCF_000452705.1, s__Pseudomonas_E syringae_F, 95.0, 80.67, 0.5; GCF_900100365.1, s__Pseudomonas_E cannabina, 95.0, 80.65, 0.54; GCF_004364335.1, s__Pseudomonas_E graminis_D, 95.0, 80.62, 0.55; GCF_013201545.1, s__Pseudomonas_E sp900585815, 95.0, 80.61, 0.56; GCF_009905615.1, s__Pseudomonas_E sp009905615, 95.0, 80.6, 0.61; GCF_009908285.1, s__Pseudomonas_E sp009908285, 95.0, 80.6, 0.58; GCF_002093745.1, s__Pseudomonas_E graminis_C, 95.0, 80.59, 0.52; GCF_001293775.1, s__Pseudomonas_E syringae_P, 95.0, 80.59, 0.54; GCF_014842265.1, s__Pseudomonas_E sp014842265, 95.0, 80.58, 0.57; GCF_001705435.1, s__Pseudomonas_E graminis_B, 95.0, 80.57, 0.56; GCF_900110765.1, s__Pseudomonas_E sp900110765, 95.0, 80.57, 0.58; GCF_002699855.1, s__Pseudomonas_E amygdali, 95.0, 80.56, 0.51; GCF_900111735.1, s__Pseudomonas_E graminis, 95.0, 80.56, 0.54; GCF_000281895.1, s__Pseudomonas_E fluorescens_S, 95.0, 80.54, 0.59; GCF_002934685.1, s__Pseudomonas_E bohemica, 95.0, 80.53, 0.59; GCF_003702045.1, s__Pseudomonas_E viridiflava_C, 95.0, 80.52, 0.54; GCF_900074915.1, s__Pseudomonas_E cerasi, 95.0, 80.52, 0.54; GCF_003605735.1, s__Pseudomonas_E sp003605735, 95.0, 80.52, 0.6; GCF_003732485.1, s__Pseudomonas_E protegens_B, 95.0, 80.5, 0.61; GCF_014268655.2, s__Pseudomonas_E sp014268655, 95.0, 80.49, 0.55; GCF_009707515.1, s__Pseudomonas_E sp009707515, 95.0, 80.48, 0.53; GCF_900106045.1, s__Pseudomonas_E mucidolens, 95.0, 80.48, 0.54; GCF_900585905.1, s__Pseudomonas_E sp900585905, 95.0, 80.45, 0.51; GCF_004364435.1, s__Pseudomonas_E sp004364435, 95.0, 80.42, 0.52; GCF_001401155.1, s__Pseudomonas_E tremae, 95.0, 80.39, 0.48; GCF_900108875.1, s__Pseudomonas_E sp900108875, 95.0, 80.39, 0.57; GCF_001400735.1, s__Pseudomonas_E caricapapayae, 95.0, 80.33, 0.52; GCA_002338065.1, s__Pseudomonas_E sp002338065, 95.0, 80.31, 0.54; GCA_002419965.1, s__Pseudomonas_E sp002419965, 95.0, 80.06, 0.53; GCF_003131185.1, s__Pseudomonas_E ovata, 95.0, 80.06, 0.51; GCF_900109755.1, s__Pseudomonas_E agarici, 95.0, 80.03, 0.49; GCA_000759445.1, s__Pseudomonas_E lutea, 95.0, 79.9, 0.52; GCF_003052515.2, s__Pseudomonas_E sp003052515, 95.0, 79.67, 0.5	54.15	11	0.9756003869564532	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
15_S41_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E gregormendelii	GCF_017114825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E gregormendelii	99.07	0.88	GCF_017114825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E gregormendelii	99.07	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008369325.1, s__Pseudomonas_E sp008369325, 95.0, 86.22, 0.74; GCF_900106065.1, s__Pseudomonas_E mandelii, 95.0, 86.05, 0.77; GCF_010095445.1, s__Pseudomonas_E sp010095445, 95.0, 86.0, 0.78; GCF_015461845.1, s__Pseudomonas_E mucoides, 95.0, 86.0, 0.75; GCF_902497785.1, s__Pseudomonas_E fluorescens_BO, 95.0, 85.96, 0.76; GCF_000282415.1, s__Pseudomonas_E sp000282415, 95.0, 85.94, 0.71; GCF_001297125.1, s__Pseudomonas_E sp001297125, 95.0, 85.89, 0.75; GCF_902498065.1, s__Pseudomonas_E fluorescens_BJ, 95.0, 85.85, 0.73; GCF_003151075.1, s__Pseudomonas_E sp003151075, 95.0, 85.85, 0.75; GCF_018502625.1, s__Pseudomonas_E fluorescens_BW, 95.0, 85.83, 0.74; GCF_006094435.1, s__Pseudomonas_E sp002029345, 95.0, 85.83, 0.76; GCF_004136015.1, s__Pseudomonas_E sp004136015, 95.0, 85.8, 0.74; GCF_006438925.1, s__Pseudomonas_E mandelii_C, 95.0, 85.79, 0.72; GCF_000968015.1, s__Pseudomonas_E fluorescens_W, 95.0, 85.77, 0.72; GCF_001661075.1, s__Pseudomonas_E silesiensis, 95.0, 85.75, 0.75; GCF_000282315.2, s__Pseudomonas_E sp000282315, 95.0, 85.73, 0.73; GCF_902497995.1, s__Pseudomonas_E fluorescens_BK, 95.0, 85.73, 0.72; GCF_002091715.1, s__Pseudomonas_E migulae, 95.0, 85.72, 0.72; GCF_004364415.1, s__Pseudomonas_E mandelii_D, 95.0, 85.71, 0.73; GCF_902497855.1, s__Pseudomonas_E fluorescens_BI, 95.0, 85.7, 0.75; GCF_900187425.1, s__Pseudomonas_E sp900187425, 95.0, 85.68, 0.73; GCF_000293885.2, s__Pseudomonas_E fluorescens_B, 95.0, 85.67, 0.75; GCF_003732265.1, s__Pseudomonas_E brassicacearum_D, 95.0, 85.66, 0.76; GCF_004310295.1, s__Pseudomonas_E sp004310295, 95.0, 85.66, 0.7; GCF_001308855.1, s__Pseudomonas_E sp001308855, 95.0, 85.64, 0.75; GCF_008370045.1, s__Pseudomonas_E sp008370045, 95.0, 85.61, 0.74; GCF_900105495.1, s__Pseudomonas_E frederiksbergensis, 95.0, 85.6, 0.72; GCF_012935755.1, s__Pseudomonas_E sp012935755, 95.0, 85.57, 0.74; GCF_003732705.1, s__Pseudomonas_E frederiksbergensis_F, 95.0, 85.57, 0.74; GCF_003732665.1, s__Pseudomonas_E frederiksbergensis_G, 95.0, 85.55, 0.73; GCF_016650815.1, s__Pseudomonas_E sp016650815, 95.0, 85.53, 0.71; GCF_018449725.1, s__Pseudomonas_E sp018449725, 95.0, 85.49, 0.74; GCF_016651105.1, s__Pseudomonas_E sp016651105, 95.0, 85.47, 0.71; GCF_900103875.1, s__Pseudomonas_E arsenicoxydans, 95.0, 85.46, 0.72; GCF_009761815.1, s__Pseudomonas_E sp009761815, 95.0, 85.45, 0.71; GCF_000282195.1, s__Pseudomonas_E sp000282195, 95.0, 85.42, 0.66; GCF_006438915.1, s__Pseudomonas_E arsenicoxydans_A, 95.0, 85.33, 0.73; GCF_016650695.1, s__Pseudomonas_E sp016650695, 95.0, 85.27, 0.71; GCF_000282375.1, s__Pseudomonas_E sp000282375, 95.0, 85.27, 0.68; GCF_902498195.1, s__Pseudomonas_E fluorescens_BU, 95.0, 85.26, 0.75; GCF_001042905.1, s__Pseudomonas_E lini, 95.0, 85.24, 0.69; GCF_001655615.1, s__Pseudomonas_E sp001655615, 95.0, 85.21, 0.68; GCF_002967995.1, s__Pseudomonas_E frederiksbergensis_D, 95.0, 85.19, 0.7; GCF_000282475.1, s__Pseudomonas_E sp000282475, 95.0, 85.14, 0.73; GCF_900187565.1, s__Pseudomonas_E sp900187565, 95.0, 85.13, 0.72; GCF_002000165.1, s__Pseudomonas_E sp002000165, 95.0, 85.1, 0.7; GCF_001238485.1, s__Pseudomonas_E syringae_E, 95.0, 85.08, 0.68; GCF_003732275.1, s__Pseudomonas_E frederiksbergensis_H, 95.0, 85.07, 0.7; GCF_000512695.2, s__Pseudomonas_E sp000512695, 95.0, 85.06, 0.65; GCF_000282495.1, s__Pseudomonas_E sp000282495, 95.0, 85.05, 0.68; GCF_001984065.1, s__Pseudomonas_E sp001984065, 95.0, 85.05, 0.69; GCF_900187445.1, s__Pseudomonas_E sp900187445, 95.0, 85.04, 0.66; GCF_017114915.1, s__Pseudomonas_E frederiksbergensis_I, 95.0, 85.04, 0.65; GCF_000802965.1, s__Pseudomonas_E fluorescens_A, 95.0, 85.03, 0.73; GCF_001976065.1, s__Pseudomonas_E putida_G, 95.0, 85.0, 0.75; GCF_000282215.1, s__Pseudomonas_E sp000282215, 95.0, 84.99, 0.7; GCF_014851765.1, s__Pseudomonas_E sp014851765, 95.0, 84.93, 0.72; GCF_900105155.1, s__Pseudomonas_E prosekii, 95.0, 84.87, 0.7; GCF_013359695.1, s__Pseudomonas_E sp013359695, 95.0, 84.87, 0.72; GCF_002356535.2, s__Pseudomonas_E sp002356535, 95.0, 84.86, 0.7; GCF_013359595.1, s__Pseudomonas_E sp013359595, 95.0, 84.84, 0.7; GCF_008801475.1, s__Pseudomonas_E moorei, 95.0, 84.83, 0.71; GCF_002236105.1, s__Pseudomonas_E umsongensis, 95.0, 84.81, 0.76; GCF_003228315.1, s__Pseudomonas_E putida_S, 95.0, 84.79, 0.69; GCF_002113375.1, s__Pseudomonas_E sp002113375, 95.0, 84.71, 0.69; GCF_900105115.1, s__Pseudomonas_E mohnii, 95.0, 84.66, 0.73; GCF_002113025.1, s__Pseudomonas_E sp002113025, 95.0, 84.62, 0.7; GCF_002286815.1, s__Pseudomonas_E sp002286815, 95.0, 84.56, 0.67; GCF_014863605.1, s__Pseudomonas_E allokribbensis, 95.0, 84.5, 0.69; GCF_010448615.1, s__Pseudomonas_E sp001655595, 95.0, 84.47, 0.69; GCF_002878485.1, s__Pseudomonas_E sp002878485, 95.0, 84.4, 0.65; GCF_003999415.1, s__Pseudomonas_E koreensis_E, 95.0, 84.4, 0.69; GCF_004348895.1, s__Pseudomonas_E vancouverensis, 95.0, 84.39, 0.72; GCF_000633255.1, s__Pseudomonas_E sp000633255, 95.0, 84.29, 0.68; GCF_001594225.2, s__Pseudomonas_E glycinae, 95.0, 84.25, 0.7; GCF_012974785.1, s__Pseudomonas_E fluorescens_BT, 95.0, 84.21, 0.7; GCF_014268495.2, s__Pseudomonas_E fluorescens_BC, 95.0, 84.15, 0.7; GCF_014236655.1, s__Pseudomonas_E kielensis, 95.0, 84.14, 0.63; GCF_011369485.1, s__Pseudomonas_E sp011369485, 95.0, 84.14, 0.66; GCF_000690905.1, s__Pseudomonas_E sp000690905, 95.0, 84.11, 0.67; GCF_902497625.1, s__Pseudomonas_E fluorescens_BQ, 95.0, 84.03, 0.69; GCF_009834545.1, s__Pseudomonas_E sp900187635, 95.0, 84.0, 0.65; GCF_007713465.1, s__Pseudomonas_E sp007713465, 95.0, 83.99, 0.58; GCF_018326005.1, s__Pseudomonas_E sp002901475, 95.0, 83.98, 0.71; GCF_003732225.1, s__Pseudomonas_E brassicacearum_E, 95.0, 83.97, 0.59; GCF_900105805.1, s__Pseudomonas_E moraviensis_A, 95.0, 83.95, 0.67; GCF_001605965.1, s__Pseudomonas_E koreensis_C, 95.5366, 83.84, 0.67; GCF_001874645.1, s__Pseudomonas_E frederiksbergensis_B, 95.0, 83.81, 0.58; GCF_004801935.1, s__Pseudomonas_E atacamensis, 95.5366, 83.78, 0.68; GCF_900187505.1, s__Pseudomonas_E sp900187505, 95.0, 83.78, 0.59; GCF_900109995.1, s__Pseudomonas_E sp900109995, 95.0, 83.76, 0.56; GCF_001307155.1, s__Pseudomonas_E fluorescens_E, 95.0, 83.72, 0.61; GCF_000217955.3, s__Pseudomonas_E fluorescens_AQ, 95.0, 83.67, 0.62; GCF_014268595.2, s__Pseudomonas_E sp014270125, 95.0, 83.58, 0.67; GCF_014268505.2, s__Pseudomonas_E sp014268505, 95.0, 83.44, 0.65; GCF_019212185.1, s__Pseudomonas_E sp002980155, 95.0, 83.32, 0.64; GCF_900581005.1, s__Pseudomonas_E sp900581005, 95.0, 83.23, 0.63; GCF_000281895.1, s__Pseudomonas_E fluorescens_S, 95.0, 82.86, 0.63; GCF_014268655.2, s__Pseudomonas_E sp014268655, 95.0, 82.83, 0.59	35.21	11	N/A	N/A
15_S41_bin.7	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
15_S41_bin.8	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
15_S41_bin.9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	N/A	N/A	N/A	N/A	N/A	GCA_003157445.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719 sp003157445	81.72	0.63	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002404345.1, s__UBA4719 sp002404345, 95.0, 83.07, 0.64; GCA_014377705.1, s__UBA4719 sp014377705, 95.0, 82.28, 0.67; GCA_003132125.1, s__UBA4719 sp003132125, 95.0, 81.43, 0.56; GCA_012927555.1, s__UBA4719 sp012927555, 95.0, 80.75, 0.59	25.77	11	0.9749813370348415	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
15p_S15_bin.1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	GCA_003152015.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	99.11	0.93	GCA_003152015.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	99.11	0.93	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003133325.1, s__Bog-756 sp003133325, 95.0, 94.0, 0.94; GCA_017883075.1, s__Bog-756 sp017883075, 95.0, 93.4, 0.83; GCA_017883065.1, s__Bog-756 sp017883065, 95.0, 78.42, 0.4; GCA_003138855.1, s__Bog-756 sp003138855, 95.0, 78.25, 0.42; GCA_017883135.1, s__Bog-756 sp017883135, 95.0, 78.16, 0.41; GCA_903906055.1, s__Bog-756 sp903906055, 95.0, 78.08, 0.27; GCA_017883105.1, s__Bog-756 sp017883105, 95.0, 78.0, 0.28; GCA_903894295.1, s__Bog-756 sp903894295, 95.0, 77.93, 0.24; GCA_903849265.1, s__Bog-756 sp903849265, 95.0, 77.92, 0.21; GCA_015478655.1, s__Bog-756 sp015478655, 95.0, 77.91, 0.37; GCA_003153575.1, s__Bog-756 sp003153575, 95.0, 77.84, 0.28; GCA_003164095.1, s__Bog-756 sp003164095, 95.0, 77.66, 0.31; GCA_017883025.1, s__Bog-756 sp017883025, 95.0, 77.3, 0.19; GCA_903873395.1, s__Bog-756 sp903873395, 95.0, 77.3, 0.19; GCA_003164275.1, s__Bog-756 sp003164275, 95.0, 76.78, 0.17; GCA_003157945.1, s__Bog-756 sp003157945, 95.0, 76.03, 0.16	34.87	11	N/A	N/A
15p_S15_bin.11	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.2%)
15p_S15_bin.12	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
15p_S15_bin.13	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	16.58	11	0.7129549399673469	N/A
15p_S15_bin.14	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__	N/A	N/A	N/A	N/A	N/A	GCA_003454135.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__Lacisediminihabitans sp003454135	84.95	0.66	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_008040105.1, s__Lacisediminihabitans profunda, 95.0, 83.9, 0.77; GCF_014217685.1, s__Lacisediminihabitans sp014217685, 95.0, 80.16, 0.52; GCF_016634425.1, s__Lacisediminihabitans sp016634425, 95.0, 79.61, 0.43; GCF_015751965.1, s__Lacisediminihabitans sp015751965, 95.0, 78.63, 0.37	80.88	11	0.9847288886085619	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
15p_S15_bin.15	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.5%)
15p_S15_bin.16	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.1%)
15p_S15_bin.17	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Actinopolymorphaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Actinopolymorphaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	12.05	11	0.7641016982351527	Genome domain questionable ( 12.5% Bacterial, 3.8% Archaeal)
15p_S15_bin.18	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.7%)
